input karkarp: 0
karkarp, reprand standard, reprand prepart, hill climb standard, hill climb prepart, anneal standard, anneal prepart
10.982,185030,1.38852e+06,37321.1,881503,35041.7,877167
10.34,178420,1.88e+06,31496.2,863803,63151.3,1.28438e+06
13.329,302425,1.83153e+06,59285.4,1.41723e+06,64622.5,1.75929e+06
14.687,230995,2.02346e+06,59170.7,1.35374e+06,62114.9,1.5611e+06
15.021,230818,2.22108e+06,42254.7,1.24543e+06,47570.6,1.60119e+06
23.719,241318,1.7369e+06,38766.1,1.00727e+06,42426.9,1.06392e+06
11.715,204149,1.66811e+06,34916.6,1.02267e+06,40650.7,1.04863e+06
11.644,220065,1.64222e+06,53182.2,1.0744e+06,43323,1.0091e+06
12.444,211126,1.88328e+06,30260.7,881797,32088.4,933848
334.571,170448,1.28546e+06,29043.8,905644,66309.5,1.05934e+06
11.658,174436,1.17939e+06,28006.4,749479,29602.3,793921
12.241,143332,1.0518e+06,24358.1,744729,29114.6,748736
10.288,146309,1.09994e+06,25732.3,757237,31570.3,790395
11.37,160163,1.2411e+06,29124.3,880755,32033.8,847457
11.052,164667,1.22763e+06,26658.3,774810,33250.8,793219
10.83,154671,1.19392e+06,28304.8,851684,39357.3,904846
10.581,156441,1.15026e+06,23099.5,758594,28733.9,944141
10.973,211505,1.53624e+06,26262.7,810031,34176.9,783406
9.77,154494,1.05968e+06,23084.5,723638,31914.9,776106
10.119,143318,1.12757e+06,26513.4,764870,29505.9,780699
11.822,171358,1.04914e+06,26422.9,716980,31165.3,725604
10.039,158967,1.13008e+06,20362.7,707245,28797.9,725512
17.222,147217,1.05143e+06,21837.8,721292,28488.6,785456
11.204,172136,1.17429e+06,24468.3,758024,38461.8,758840
8.638,150818,1.08711e+06,30070.3,707514,26774.4,739024
8.95,163324,1.09717e+06,26183.8,732398,29191.3,753484
8.632,136478,1.12304e+06,27869.3,735656,27921.3,801670
9.999,157248,1.27017e+06,24442.6,736261,28510.6,780949
11.8,148708,1.07824e+06,20811.4,711445,35277.1,796698
8.817,154741,1.16936e+06,30503,675608,25963.7,733266
